NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
167,내 여자친구의 동생 무삭제,한대위,(주)영화사가을,,(주)영화사가을,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
168,대물 사위:너무 거대해,버드맨 텟페이,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
169,두자매의 섹시한 변태,정승호,(주)제이엠로드,,(주)제이엠로드,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
170,뜨거운 밤의 창가,정지승,(주)코빈커뮤니케이션즈,,(주)코빈커뮤니케이션즈,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
171,룸싸롱 알바생,신승엽,(주)영화사가을,,(주)영화사가을,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
172,룸싸롱 : 맛있는 서비스 3,신승엽,(주)영화사가을,,(주)영화사가을,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
173,밀애 2021,김환,(주)영화사가을,,(주)영화사가을,2021-09-,개봉영화,장편,한국,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
174,발정난 전업주부 무삭제판,,,,(주)라온컴퍼니플러스,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
175,방문판매 섹스백서,아카바네 키쿠지로,,,(주)영진크리에이티브,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,멜로/로맨스,청소년관람불가,일반영화
176,부장의 부인,,,,(주)코빈커뮤니케이션즈,2021-09-,개봉영화,장편,일본,1.0,,1.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
