순위,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
4145,공조,2017-01-18,231560 ,0.00%,63783534886 ,32 ,7817686 ,1 ,8 ,한국,한국,"(주)제이케이필름,(주)씨제이이엔엠,(주)영화사 이창,(주)에이치비엔터테인먼트",(주)씨제이이엔엠,15세이상관람가,액션,김성훈,"이재남,현빈,유해진,김주혁,장영남,이해영,임윤아,이동휘,박형수,서은지,신유철,공정환,김준한,신문성,엄효섭,홍인,임용순,엄지만,신현빈,김종태"
30,스파이더맨: 노 웨이 홈,2021-12-15,19499655450 ,0.80%,75197069210 ,1991366 ,7552306 ,2162 ,131950 ,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,SF",존 왓츠,"톰 홀랜드,젠데이아 콜먼,베네딕트 컴버배치,제이콥 배덜런,존 파브로,마리사 토메이"
2769,최종병기 활,2011-08-10,824000 ,0.00%,55828685500 ,118 ,7470751 ,1 ,1 ,한국,한국,"(주)디씨지플러스,(주)다세포클럽",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"사극,액션",김한민,"박해일,류승룡,김무열,문채원,이한위,김구택,이경영,박기웅,이승준,이재구,박노식,이다윗,전민서,오타니 료헤이,강규영,김홍수,김길동,최선미,조우진,이미소,최태환,박진주,한성민,김남수,강은규,김기덕,이상도,장재욱,임미주,박상희,최유라,이유비,이항주,이동훈,문영동,박명신,강신철,강신하"
817,트랜스포머,2007-06-28,29813865 ,0.00%,47740418203 ,2717 ,7405449 ,77 ,405 ,미국,미국,"드림웍스픽쳐스,드림웍스 SKG,파라마운트 픽쳐스","롯데컬처웍스(주)롯데엔터테인먼트,CJ ENM",12세이상관람가,"SF,액션,어드벤처",마이클 베이,"샤이아 라보프,메간 폭스"
1851,써니,2011-05-04,3172500 ,0.00%,54041707200 ,318 ,7363457 ,1 ,4 ,한국,한국,"(주)알로하픽쳐스,(주)토일렛픽쳐스",(주)씨제이이엔엠,15세이상관람가,"드라마,코미디",강형철,"유호정,심은경,강소라,고수희,홍진희,강지원,김민영,김선경,진희경,김보미,이연경,박진주,남보라,민효린,윤미라,조민수,박윤정,신윤정,박영서,김예원,천우희,박중훈,최형태,심소희,최혜선,전선희,박혜성,진승환,김보름,김도엽,이상은,윤수진,최선아,박보영,윤정,임은채,최아름,류혜린,최영호,정은지,이승훈,이다슬,한승현,김새벽,성지루,정원중,정석용,김원해,최명길,이상아,김영옥,김보연,선주아,김시후,김혜옥,고준,박순천,권은수,양주호,박혁민,고은별"
6,한산: 용의 출현,2022-07-27,73711802377 ,3.00%,73711802377 ,7266340 ,7266340 ,2223 ,217777 ,한국,한국,(주)빅스톤픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"액션,드라마",김한민,"박해일,이지영,김시국,이정태,변요한,안성기,손현주,김성규,김성균,김향기,옥택연,공명,박지환,조재윤,윤제문,박훈,윤진영,김강일,박재민,이서준,김민재,김재영,김구택,손경원,안성봉,이운산,김영웅,공정환,배현성,김대명,정예훈,김한민,김기호,김기환,강신구,김영탁,김공,이재한,정제우,정연,윤대열,김리우,김현태,현봉식,김범석,고한민,문승배,강덕중,서상원,김영찬,배명진,곽민호,정준화,황무영,안태준,이의령,안치욱,강병욱,김호연,김태근,고기영,홍윤,박선교,김동훈,서세명,박형준,이진민,이규탁,남현우,윤상원,이지운,문바롬,김태희,김동현,김우현,남상우,김현승,양동혁,오누리,한봄,박재이,김진희,강리안,강보라,김지아,이다혜,김효주,한송희,한상경,김진형,오지훈,이루겸,최홍락,방병현,황성웅,김이담,김경태,김건보,이동빈,유건기,위민국,정동근,최돈학,권용덕,김용준,김한솔,김현우,강성락,이종욱,윤상영,김영호,이건록,장한솔,정현옥,이단,백태민,현직,손대민,김무섭,한동국,황민혁,조현수,김서준,채강,엄기영,손수호,이상호,민주호,오창후,김형석,구본혁,우혁,김명곤,문숙,이준혁,윤승훈,박혜영,허중회,이보영,윤현승"
156,엘리멘탈,2023-06-14,16923026 ,0.00%,71137423066 ,1657 ,7240110 ,25 ,186 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,피터 손,
7,엘리멘탈,2023-06-14,71120500040 ,2.90%,71120500040 ,7238453 ,7238453 ,1664 ,247169 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,피터 손,
3317,1987,2017-12-27,750000 ,0.00%,58170966145 ,75 ,7232527 ,1 ,1 ,한국,한국,(주)우정필름,(주)씨제이이엔엠,15세이상관람가,드라마,장준환,"안대겸,최미금,김윤석,남현우,하정우,유해진,김태리,박희순,이희준,설경구,여진구,윤재국,지웅배,정재윤,이가영,이동욱,이동희,이상준,이태형,최광일,강동원,문소리,문성근,김원진,남민우,이주영,임병우,김시은,김기태,정재윤,황성준,서현우,조민준,박지환,박명신,김푸름,이화룡,이창훈,이신성,김수진,박경혜,김국희,황정민,한준우,정승길,현봉식,강신철,한성천,나철,김승훈,정인기,양조아,최교식,이상희,김경덕,최현종,정순원,이하영,유정호,곽진석,박혁민,염석무,이범규,조윤담,이청빈,김병국"
1184,어벤져스,2012-04-26,9656300 ,0.00%,59644552758 ,903 ,7087971 ,2 ,33 ,미국,미국,,"월트디즈니컴퍼니코리아 유한책임회사,한국소니픽쳐스릴리징브에나비스타영화㈜",12세이상관람가,"액션,SF",조스 웨던,"로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,크리스 에반스,제레미 레너"
